line number,id,date (YYMMDD),calcium imaging directory,ephys directory,indices of TTL events to delete,zero time (s),baseline period (min),decay_time,update_background_components,method_deconvolution,method_init,K,gSig,gSiz,tsub,ssub,ssub_B,ring_size_factor,min_corr,min_pnr,normalize_init,center_psf,nb,p,del_duplicates,border_pix,low_rank_background,rf,stride,only_init,nb_patch,min_SNR,rval_thr,use_cnn,merge_thr,pw_rigid,shifts_opencv,max_shifts,gSig_filt,strides,overlaps,max_deviation_rigid,border_nan,crop,periods of high slow wave power (s),control periods (s),crop_square,ca_ephys_baseline_video_num,ca_ephys_slow_wave_video_num,ca_ephys_burst_suppression_video_num,comments
30,R220817B,221118,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2022_11_18/14_53_14,../../experimental_data/Neuralynx_data/R220817B/2022-11-18_14-41-45,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
31,R220817B,221121,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2022_11_21/14_45_10,../../experimental_data/Neuralynx_data/R220817B/2022-11-21_14-23-26,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
32,no_rat,221121,../../experimental_data/miniscope_data/test_brightness_with_power_supply/no_rat/2022_11_21/17_44_26,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
33,no_rat,221121,../../experimental_data/miniscope_data/test_brightness_with_power_supply/no_rat/2022_11_21/17_46_37,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
34,R221020A,221123,../../experimental_data/miniscope_data/sleep/R221020A/2022_11_23/14_20_51,../../experimental_data/Neuralynx_data/R221020A/2022-11-23_14-18-22,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
35,R220817B,221125,../../experimental_data/miniscope_data/sleep/R220817B/2022_11_25/14_04_09,../../experimental_data/Neuralynx_data/R220817B/2022-11-25_13-47-06,"[9119,9120,9121]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)","[3030, 3300]","[0,420]","(187,347, 432,153)",,,,
36,R220817B,221128,../../experimental_data/miniscope_data/propofol/R220817B/2022_11_28/14_25_30,../../experimental_data/Neuralynx_data/R220817B/2022-11-28_14-15-03,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(193,367, 430,144)","[3000,4600]","[120,550]","(201,359, 433,149)",,,,
37,R221020A,221129,../../experimental_data/miniscope_data/sleep/R221020A/2022_11_29/14_23_10,../../experimental_data/Neuralynx_data/R221020A/2022-11-29_14-09-59,[],0,,0.4,TRUE,oasis,corr_pnr,2,"(9,9)","(37, 37)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,80,20,TRUE,0,2.5,0.9,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3, 3)","(48, 48)","(24, 24)",3,copy,"(48,487, 498,57)","[5861,6251]","[1400,1800]","(163,378, 382,183)",,,,could maybe lower rf value
38,R221020B,221130,../../experimental_data/miniscope_data/sleep/R221020B/2022_11_30/14_11_13,../../experimental_data/Neuralynx_data/R221020B/2022-11-30_13-53-02,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.6,6,FALSE,TRUE,0,1,TRUE,0,None,40,40,TRUE,0,0.1,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(3, 3)","(48, 48)","(24, 24)",3,copy,"(100,455, 496,69)","[4502,4776]","[840,1200]","(309,315, 425,191)",,,,
39,R221020A,221202,../../experimental_data/miniscope_data/ketamine/R221020A/2022_12_02/15_11_16,../../experimental_data/Neuralynx_data/R221020A/2022-12-02_15-01-50,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(9,9)","(37, 37)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,40,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(48,487, 498,57)","[1739,4555]","[630,870]","(151,356, 403,172)",,,,
40,R221020B,221206,../../experimental_data/miniscope_data/dexmedetomidine/R221020B/2022_12_06/15_05_12,../../experimental_data/Neuralynx_data/R221020B/2022-12-06_15-01-21,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(9, 9)","(37, 37)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,40,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(3, 3)","(48, 48)","(24, 24)",3,copy,"(100,455, 496,69)","[3200,4350]","[120,480]","(289,346, 432,151)",,,,
41,R221020A,221207,../../experimental_data/miniscope_data/dexmedetomidine/R221020A/2022_12_07/15_08_13,../../experimental_data/Neuralynx_data/R221020A/2022-12-07_14-18-02,[],0,,0.4,TRUE,oasis,corr_pnr,2,"(9,9)","(37,37)",2,1,2,1.4,0.8,10,FALSE,TRUE,1,1,TRUE,0,None,40,20,TRUE,0,0.1,0.8,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3,3)","(48, 48)","(24, 24)",3,copy,"(48,487, 498,57)","[3513,4124]","[0,420]","(186,337, 354,182)",,,,
42,R220817B,221208,../../experimental_data/miniscope_data/ketamine/R220817B/2022_12_08/14_33_20,../../experimental_data/Neuralynx_data/R220817B/2022-12-08_14-19-12,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)","[1845,3800]","[0,420]","(186,366, 441,145)",,,,
43,R221020B,221215,../../experimental_data/miniscope_data/propofol/R221020B/2022_12_15/15_26_13,../../experimental_data/Neuralynx_data/R221020B/2022-12-15_14-57-57,[2509],0,,0.4,TRUE,oasis,corr_pnr,None,"(9, 9)","(37, 37)",2,1,2,1.4,0.7,8,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3, 3)","(48, 48)","(24, 24)",3,copy,"(100,455, 496,69)","[2250,3722]","[0,275]","(295,339, 420,177)",,,,
44,R221020A,221216,../../experimental_data/miniscope_data/propofol/R221020A/2022_12_16/15_26_13,../../experimental_data/Neuralynx_data/R221020A/2022-12-16_14-54-23,[3914],0,,0.4,TRUE,oasis,corr_pnr,None,"(11, 11)","(45, 45)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,60,20,TRUE,0,2.5,0.85,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3, 3)","(48, 48)","(24, 24)",3,copy,"(162,376, 386,186)","[2600,3925]","[480,840]","(180,347, 403,153)",,,,
45,R221020B,221219,../../experimental_data/miniscope_data/ketamine/R221020B/2022_12_19/15_22_26,../../experimental_data/Neuralynx_data/R221020B/2022-12-19_15-12-40,[4195],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(100,455, 496,69)","[1675,4000]","[0,330]","(204,367, 433,155)",,,,
46,R221020A,221221,../../experimental_data/miniscope_data/dexmedetomidine/R221020A/2022_12_21/15_36_30,../../experimental_data/Neuralynx_data/R221020A/2022-12-21_15-30-27,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(48,487, 498,57)","[2000,6700]","[0,360]","(174,347, 394,162)",,,,
47,R221020B,221222,../../experimental_data/miniscope_data/dexmedetomidine/R221020B/2022_12_22/15_03_12,../../experimental_data/Neuralynx_data/R221020B/2022-12-22_14-49-11,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(100,455, 496,69)","[2000,7000]","[0,400]","(212,372, 418,142)",,,,
48,R220817B,230104,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2023_01_04/15_37_35,../../experimental_data/Neuralynx_data/R220817B/2023-01-04_15-06-27,"[28496,28497,28498,28857,28858,28859,28860]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)","[2225, 4175]","[0,500]","(201,379, 450,151)",,,,
49,R220817B,230112,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2023_01_12/15_47_16,../../experimental_data/Neuralynx_data/R220817B/2023-01-12_15-29-47,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,"(186,367, 437,146)",,,,
50,no_rat,230224,../../experimental_data/miniscope_data/test_miniscope_led_timing/no_rat/2023_02_24/18_05_20,../../experimental_data/Neuralynx_data/test_miniscope_led_timing/2023-02-24_18-04-45,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
51,no_rat,230224,../../experimental_data/miniscope_data/test_miniscope_led_timing/no_rat/2023_02_24/18_07_08,../../experimental_data/Neuralynx_data/test_miniscope_led_timing/2023-02-24_18-06-41,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
52,no_rat,230224,../../experimental_data/miniscope_data/test_miniscope_led_timing/no_rat/2023_02_24/18_09_08,../../experimental_data/Neuralynx_data/test_miniscope_led_timing/2023-02-24_18-08-41,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
53,R221107A,230227,../../experimental_data/miniscope_data/sleep/R221107A/2023_02_27/14_43_35,../../experimental_data/Neuralynx_data/R221107A/2023-02-27_14-22-45,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(88,446, 417,130)","[4200,5000]","[300,600]","(138,406, 372,163)",,,,
54,R221107B,230228,../../experimental_data/miniscope_data/sleep/R221107B/2023_02_28/14_38_18,../../experimental_data/Neuralynx_data/R221107B/2023-02-28_14-21-02,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(168,467, 503, 111)","[5250,6259]","[0,625]","(216,394, 463,178)",,,,
55,R221107A,230302,../../experimental_data/miniscope_data/propofol/R221107A/2023_03_02/15_05_15,../../experimental_data/Neuralynx_data/R221107A/2023-03-02_14-52-49,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(124,411, 383, 146)",,,"(131,388, 380,156)",,,,
56,R221107B,230303,../../experimental_data/miniscope_data/ketamine/R221107B/2023_03_03/15_10_11,../../experimental_data/Neuralynx_data/R221107B/2023-03-03_15-07-01,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(150,458, 497,116)","[2400,3800]","[300,600]","(223,397, 454,172)",,,,
57,R221107A,230306,../../experimental_data/miniscope_data/dexmedetomidine/R221107A/2023_03_06/15_10_13,../../experimental_data/Neuralynx_data/R221107A/2023-03-06_14-45-02,"[8510,8511]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(101,455, 418,107)","[4400, 5200]","[0,300]","(121,386, 409,149)",,,,
