rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
51,R190619A,190729,D:\data\R190619A_R190617B_190729_syst_propofol_saline\PFCvsPCEEG.ncs,0.6505,propofol,saline,ip,0.8,10,40,NA,NA,6523.03491900000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Saline was given at 10:29 am, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
52,R190617B,190729,D:\data\R190619A_R190617B_190729_syst_propofol_saline\PFCvsPCEEG2.ncs,0.675,propofol,saline,ip,0.8,10,40,NA,NA,0,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,,"Saline was given at 10:49 am, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording. Cannula came out before propofol infusion started."
53,R190620,190729,D:\data\R190620_190729_syst_propofol_saline\PFCvsPCEEG.ncs,0.572,propofol,saline,ip,1.67,10,15,NA,NA,14306.8949510000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,21.25,"Saline was given at 12:41 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
54,R190618B,190729,D:\data\R190618B_190729_syst_propofol_saline\PFCvsPCEEG.ncs,0.621,propofol,saline,ip,1.67,10,15,NA,NA,22043.3634920000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Saline was given at 2:51 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
55,R190617A,190730,D:\data\R190617A_190730_syst_propofol_saline\PFCvsPCEEG.ncs,0.562,propofol,saline,ip,1.67,10,15,NA,NA,5610.88074700000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,5.8,"Saline was given at 3:25 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
56,R190619B,190731,D:\data\R190619B_190731_syst_propofol_saline\PFCvsPCEEG.ncs,0.619,propofol,saline,ip,1.67,10,15,NA,NA,5575.82322600000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,17+(4/60),"Saline was given at 10:15 am, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
57,R190617B,190731,D:\data\R190617B_190731_syst_propofol_saline\PFCvsPCEEG.ncs,0.677,propofol,saline,ip,1.67,10,15,NA,NA,12655.4895280000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Saline was given at 12:13 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording. I am relatively sure this was saline (I had originally intended to do CNO on this rat only, but a syringe that was still around after I finished with this rat had a label for R190617B on it, so I think I used a saline syring by accident instead), but I can't be sure."
58,R190618A,190731,D:\data\R190618A_190731_syst_propofol_CNO\PFCvsPCEEG.ncs,0.6315,propofol,CNO,ip,1.67,10,15,0.5,1,23095.7853440000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,16+(38/60),"CNO was given at 3:07 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
59,R190618B,190801,D:\data\R190618B_190801_syst_propofol_CNO\PFCvsPCEEG.ncs,0.622,propofol,CNO,ip,1.67,10,15,0.5,1,3015.91005300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"CNO was given at 10:51 am, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording. Cannula came out mid propofol infusion"
60,R190620,190801,D:\data\R190620_190801_syst_propofol_CNO\PFCvsPCEEG.ncs,0.573,propofol,CNO,ip,1.67,10,15,0.5,1,9076.42693700000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,22.35,"CNO was given at 12:32 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
